feature_map,n_pool,n_qubits,seed,acc,f1,mcc
HEE,2000,16,1,0.615,0.5999581086034456,0.5366293833362058
HEE,2000,16,2,0.6175,0.6163297898291737,0.5367113053651615
ZZ,400,16,0,0.2625,0.1039603960396039,0.0
ZZ,400,16,1,0.2625,0.1039603960396039,0.0
ZZ,400,16,2,0.2625,0.1039603960396039,0.0
ZZ,800,16,0,0.2625,0.1039603960396039,0.0
ZZ,800,16,1,0.2625,0.1039603960396039,0.0
ZZ,800,16,2,0.2625,0.1039603960396039,0.0
ZZ,1200,16,0,0.2625,0.1039603960396039,0.0
ZZ,1200,16,1,0.2666666666666666,0.1052631578947368,0.0
ZZ,1200,16,2,0.2625,0.1039603960396039,0.0
ZZ,1600,16,0,0.265625,0.1049382716049382,0.0
ZZ,1600,16,1,0.265625,0.1049382716049382,0.0
ZZ,1600,16,2,0.265625,0.1049382716049382,0.0
ZZ,2000,16,0,0.265,0.1047430830039525,0.0
ZZ,2000,16,1,0.265,0.1047430830039525,0.0
ZZ,2000,16,2,0.265,0.1047430830039525,0.0
RBF-Class,400,20,0,0.85,0.848684,0.800887
RBF-Class,400,20,1,0.8625,0.861433,0.817459
RBF-Class,400,20,2,0.9125,0.912428,0.883744
RBF-Class,800,20,0,0.8688,0.867858,0.825811
RBF-Class,800,20,1,0.8938,0.893356,0.858954
RBF-Class,800,20,2,0.8875,0.886931,0.850602
RBF-Class,1200,20,0,0.8625,0.861433,0.817459
RBF-Class,1200,20,1,0.85,0.848684,0.800887
RBF-Class,1200,20,2,0.8667,0.865716,0.823027
RBF-Class,1600,20,0,0.8906,0.890092,0.854711
RBF-Class,1600,20,1,0.8438,0.84236,0.792668
RBF-Class,1600,20,2,0.8875,0.886931,0.850602
RBF-Class,2000,20,0,0.885,0.884381,0.847287
RBF-Class,2000,20,1,0.86,0.858883,0.814145
RBF-Class,2000,20,2,0.8725,0.871632,0.830716
RBF-Class-2n,400,20,0,0.85,0.8507276507276507,0.8007536261691618
RBF-Class-2n,400,20,1,0.8625,0.8594097344097344,0.8180134362962099
RBF-Class-2n,400,20,2,0.9125,0.91213258286429,0.8837015423092955
RBF-Class-2n,800,20,0,0.8625,0.8588373259070976,0.8220182587876386
RBF-Class-2n,800,20,1,0.9,0.8987189365357706,0.8670392766402255
RBF-Class-2n,800,20,2,0.9,0.9000207280393039,0.8671220263100956
RBF-Class-2n,1200,20,0,0.85,0.8494543486953043,0.8008524998866607
RBF-Class-2n,1200,20,1,0.8458333333333333,0.8437288772654625,0.7946006806150528
RBF-Class-2n,1200,20,2,0.8791666666666667,0.8794481467503575,0.8391659318006073
RBF-Class-2n,1600,20,0,0.89375,0.8930024152290468,0.8582653613129818
RBF-Class-2n,1600,20,1,0.846875,0.8452085480832632,0.7961648267730744
RBF-Class-2n,1600,20,2,0.8875,0.887463480275751,0.8499967595346857
RBF-Class-2n,2000,20,0,0.905,0.904742392018328,0.8735245392487567
RBF-Class-2n,2000,20,1,0.8575,0.8575283158057083,0.8102570883232727
RBF-Class-2n,2000,20,2,0.8875,0.8867429284384902,0.8502040170393066
W2K-Block,400,20,0,0.7875,0.784248,0.717956
W2K-Block,400,20,1,0.7625,0.758446,0.684821
W2K-Block,400,20,2,0.7875,0.784248,0.717956
W2K-Block,800,20,0,0.85,0.848752,0.800795
W2K-Block,800,20,1,0.8313,0.829453,0.77601
W2K-Block,800,20,2,0.8875,0.887455,0.850498
